2023-07-31 10:29:34,521 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2023-07-31 10:29:34,521 | DEBUG | nextcord.client |  Dispatching event message
2023-07-31 10:29:34,546 | DEBUG | nextcord.http |  POST https://discord.com/api/v10/channels/883781331857846292/messages with {"tts":false,"content":"Bee Movie Script - Dialogue Transcript"} has returned 200
2023-07-31 10:29:34,546 | DEBUG | nextcord.http |  POST https://discord.com/api/v10/channels/883781331857846292/messages has received {'id': '1135504520768667659', 'type': 0, 'content': 'Bee Movie Script - Dialogue Transcript', 'channel_id': '883781331857846292', 'author': {'id': '608266907476426762', 'username': 'bmil', 'avatar': '567fda2a6d33bda16602ee4a33680a74', 'discriminator': '9300', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration': None, 'banner_color': None}, 'attachments': [], 'embeds': [], 'mentions': [], 'mention_roles': [], 'pinned': False, 'mention_everyone': False, 'tts': False, 'timestamp': '2023-07-31T09:29:34.405000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'referenced_message': None}
2023-07-31 10:29:34,730 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":"MESSAGE_CREATE","s":6,"op":0,"d":{"type":0,"tts":false,"timestamp":"2023-07-31T09:29:34.721000+00:00","referenced_message":null,"pinned":false,"mentions":[],"mention_roles":[],"mention_everyone":false,"member":{"roles":["977971971939766406"],"premium_since":null,"pending":false,"nick":null,"mute":false,"joined_at":"2022-05-22T16:31:27.995000+00:00","flags":0,"deaf":false,"communication_disabled_until":null,"avatar":null},"id":"1135504522094051380","flags":0,"embeds":[],"edited_timestamp":null,"content":"According to all known laws of aviation, there is no way a bee should be able to fly.","components":[],"channel_id":"883781331857846292","author":{"username":"bmil","public_flags":0,"id":"608266907476426762","global_name":null,"discriminator":"9300","bot":true,"avatar_decoration":null,"avatar":"567fda2a6d33bda16602ee4a33680a74"},"attachments":[],"guild_id":"883749537779437568"}}
2023-07-31 10:29:34,730 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2023-07-31 10:29:34,730 | DEBUG | nextcord.client |  Dispatching event message
2023-07-31 10:29:34,747 | DEBUG | nextcord.http |  POST https://discord.com/api/v10/channels/883781331857846292/messages with {"tts":false,"content":"According to all known laws of aviation, there is no way a bee should be able to fly."} has returned 200
2023-07-31 10:29:34,747 | DEBUG | nextcord.http |  POST https://discord.com/api/v10/channels/883781331857846292/messages has received {'id': '1135504522094051380', 'type': 0, 'content': 'According to all known laws of aviation, there is no way a bee should be able to fly.', 'channel_id': '883781331857846292', 'author': {'id': '608266907476426762', 'username': 'bmil', 'avatar': '567fda2a6d33bda16602ee4a33680a74', 'discriminator': '9300', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration': None, 'banner_color': None}, 'attachments': [], 'embeds': [], 'mentions': [], 'mention_roles': [], 'pinned': False, 'mention_everyone': False, 'tts': False, 'timestamp': '2023-07-31T09:29:34.721000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'referenced_message': None}
2023-07-31 10:29:34,953 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":"MESSAGE_CREATE","s":7,"op":0,"d":{"type":0,"tts":false,"timestamp":"2023-07-31T09:29:34.939000+00:00","referenced_message":null,"pinned":false,"mentions":[],"mention_roles":[],"mention_everyone":false,"member":{"roles":["977971971939766406"],"premium_since":null,"pending":false,"nick":null,"mute":false,"joined_at":"2022-05-22T16:31:27.995000+00:00","flags":0,"deaf":false,"communication_disabled_until":null,"avatar":null},"id":"1135504523008430120","flags":0,"embeds":[],"edited_timestamp":null,"content":"Its wings are too small to get its fat little body off the ground.","components":[],"channel_id":"883781331857846292","author":{"username":"bmil","public_flags":0,"id":"608266907476426762","global_name":null,"discriminator":"9300","bot":true,"avatar_decoration":null,"avatar":"567fda2a6d33bda16602ee4a33680a74"},"attachments":[],"guild_id":"883749537779437568"}}
2023-07-31 10:29:34,954 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2023-07-31 10:29:34,954 | DEBUG | nextcord.client |  Dispatching event message
2023-07-31 10:29:34,990 | DEBUG | nextcord.http |  POST https://discord.com/api/v10/channels/883781331857846292/messages with {"tts":false,"content":"Its wings are too small to get its fat little body off the ground."} has returned 200
2023-07-31 10:29:34,990 | DEBUG | nextcord.http |  POST https://discord.com/api/v10/channels/883781331857846292/messages has received {'id': '1135504523008430120', 'type': 0, 'content': 'Its wings are too small to get its fat little body off the ground.', 'channel_id': '883781331857846292', 'author': {'id': '608266907476426762', 'username': 'bmil', 'avatar': '567fda2a6d33bda16602ee4a33680a74', 'discriminator': '9300', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration': None, 'banner_color': None}, 'attachments': [], 'embeds': [], 'mentions': [], 'mention_roles': [], 'pinned': False, 'mention_everyone': False, 'tts': False, 'timestamp': '2023-07-31T09:29:34.939000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'referenced_message': None}
2023-07-31 10:29:35,240 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":"MESSAGE_CREATE","s":8,"op":0,"d":{"type":0,"tts":false,"timestamp":"2023-07-31T09:29:35.206000+00:00","referenced_message":null,"pinned":false,"mentions":[],"mention_roles":[],"mention_everyone":false,"member":{"roles":["977971971939766406"],"premium_since":null,"pending":false,"nick":null,"mute":false,"joined_at":"2022-05-22T16:31:27.995000+00:00","flags":0,"deaf":false,"communication_disabled_until":null,"avatar":null},"id":"1135504524128301118","flags":0,"embeds":[],"edited_timestamp":null,"content":"The bee, of course, flies anyway because bees don't care what humans think is impossible.","components":[],"channel_id":"883781331857846292","author":{"username":"bmil","public_flags":0,"id":"608266907476426762","global_name":null,"discriminator":"9300","bot":true,"avatar_decoration":null,"avatar":"567fda2a6d33bda16602ee4a33680a74"},"attachments":[],"guild_id":"883749537779437568"}}
2023-07-31 10:29:35,240 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2023-07-31 10:29:35,240 | DEBUG | nextcord.client |  Dispatching event message
2023-07-31 10:29:35,313 | DEBUG | nextcord.http |  POST https://discord.com/api/v10/channels/883781331857846292/messages with {"tts":false,"content":"The bee, of course, flies anyway because bees don't care what humans think is impossible."} has returned 200
